X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id
ENST00000649273.1,35.72306606,-8.568912614,1.888897517,-4.536462427,5.72057E-06,0.001866697,10846
ENST00000649273.1,35.72306606,-8.568912614,1.888897517,-4.536462427,5.72057E-06,0.001866697,90632
ENST00000649717.1,49.21285726,-6.592220022,1.562288693,-4.219591456,2.44745E-05,0.005641434,2035
ENST00000650270.1,39.2374866,-8.704663551,1.806432514,-4.818703984,1.44494E-06,0.000658718,8893
ENST00000651477.1,23.35333029,-7.955382969,2.205064864,-3.607777304,0.000308831,0.039735816,79866
ENST00000665637.1,26.75112517,-8.152425684,1.963888454,-4.151165342,3.30787E-05,0.007054352,9771
ENST00000671097.1,27.1513506,-8.172852851,2.088700069,-3.912889635,9.11982E-05,0.015107111,699
ENST00000671397.1,19.41052345,-7.689047913,2.143617251,-3.586950007,0.000334568,0.042048499,8454
ENST00000672163.1,21.89095631,-7.863364665,2.086470247,-3.768740377,0.000164073,0.024251295,1073
ENST00000672766.1,24.70931958,-8.038272326,2.067558389,-3.887809102,0.000101153,0.016404978,51315
ENST00000675407.1,40.69189618,-8.756990665,1.80954332,-4.839337401,1.30273E-06,0.000622248,57568
ENST00000676062.1,36.1093538,-8.584833464,1.834313064,-4.680135376,2.86686E-06,0.001078415,7403
ENST00000676866.1,32.03370702,-8.411871189,1.892132437,-4.445709521,8.76023E-06,0.002564994,3840
ENST00000676916.1,833.0789159,-1.293597124,0.218982564,-5.907306511,3.47746E-09,5.7081E-06,1653
ENST00000677191.1,53.53690168,-4.82146188,1.350323164,-3.570598512,0.000356166,0.043747903,3178
ENST00000677382.1,33.82405591,-8.49008494,1.913846247,-4.436137415,9.15874E-06,0.002667261,64398
ENST00000677850.1,46.62416907,-8.952979673,1.979125897,-4.523703967,6.07667E-06,0.001959292,7514
ENST00000678386.1,103.3094445,-7.651967787,1.192681913,-6.415765765,1.40117E-10,4.74365E-07,23503
ENST00000679097.1,146.4745041,-4.904410903,1.229055591,-3.990389807,6.59648E-05,0.011792676,55870
ENST00000679308.1,87.26571682,-9.857462278,1.769554053,-5.570591224,2.53876E-08,2.80653E-05,4705
ENST00000679348.1,32.5568169,-8.436023559,1.910037401,-4.416679776,1.00229E-05,0.002843496,4691
ENST00000680193.1,21.66566938,-7.848670389,2.146120591,-3.65714323,0.000255042,0.034027361,23322
ENST00000680423.1,49.69150379,-6.004945582,1.677660597,-3.579356632,0.000344441,0.042403837,1778
ENST00000680589.1,52.3970263,-6.681660169,1.540665154,-4.336867197,1.44528E-05,0.003745831,50937
ENST00000683018.1,45.30848452,-7.457389207,1.709593126,-4.362084225,1.28829E-05,0.003437647,2065
ENST00000683338.1,41.86266439,-5.767266016,1.537830538,-3.75026108,0.000176651,0.025429597,65065
ENST00000683413.1,21.11439863,-7.810404693,2.099949751,-3.719329326,0.000199752,0.028031585,321
ENST00000683437.1,38.59974216,-8.680662047,1.859285498,-4.66881609,3.0294E-06,0.001116304,102723370
ENST00000683437.1,38.59974216,-8.680662047,1.859285498,-4.66881609,3.0294E-06,0.001116304,203859
ENST00000683789.1,62.36544175,-7.92187233,1.65353733,-4.790863916,1.66065E-06,0.000718407,64087
ENST00000684190.1,51.60875157,-6.629339453,1.40282303,-4.725713303,2.29309E-06,0.000906658,56052
ENST00000684218.1,23.03758746,-7.936760985,2.03410382,-3.901846557,9.54617E-05,0.015669599,2068
ENST00000684493.1,28.90557422,-8.263646619,1.933123684,-4.274763528,1.9134E-05,0.004606453,78987
